WORK,SENT.ADDR,PARENLEN
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|1,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|2,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|3,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|4,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|5,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|6,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|7,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|8,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|9,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|10,3
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|11,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|12,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|13,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|14,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|19,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21,2
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|22,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|23,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|24,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|25,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|26,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|27,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|28,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|29,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|30,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|31,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|32,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|34,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|35,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|36,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|37,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|42,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|44,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|45,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|46,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|47,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|48,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|49,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|52,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|53,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|54,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|55,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|56,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|57,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|58,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|59,0
